timestamp,roll,pitch,yaw
1582297546076921,1.91663,0.145576,-1.83779
1582297546100512,1.90695,0.16057,-1.84661
1582297546121459,1.89193,0.17797,-1.85371
1582297546145343,1.87211,0.195817,-1.86136
1582297546160313,1.85978,0.216676,-1.86915
1582297546181442,1.85065,0.245604,-1.87366
1582297546197447,1.83887,0.279568,-1.87675
1582297546220165,1.83277,0.315185,-1.88038
1582297546243079,1.82156,0.353897,-1.88469
1582297546257046,1.81516,0.392214,-1.88972
1582297546265018,1.81625,0.43352,-1.89594
1582297546285972,1.81682,0.478387,-1.90176
1582297546309369,1.81711,0.520853,-1.90343
1582297546324857,1.81562,0.562498,-1.90035
1582297546345997,1.82316,0.610059,-1.89789
1582297546368741,1.83961,0.664686,-1.89384
1582297546386690,1.86362,0.715613,-1.88527
1582297546406165,1.89972,0.764002,-1.86278
1582297546428708,1.9488,0.811925,-1.81842
1582297546444601,2.00992,0.858734,-1.75667
1582297546465683,2.08539,0.901485,-1.68961
1582297546489461,2.17796,0.938927,-1.61811
1582297546504382,2.28018,0.966712,-1.53768
1582297546525628,2.37547,0.98557,-1.45429
1582297546548268,2.46369,0.994852,-1.37554
1582297546566213,2.55512,0.997681,-1.29412
1582297546585516,2.63512,0.98702,-1.21804
1582297546608250,2.70011,0.976159,-1.15578
1582297546624057,2.76423,0.963699,-1.10175
1582297546646078,2.83045,0.953574,-1.04937
1582297546667938,2.88935,0.937756,-1.00331
1582297546684896,2.93515,0.923019,-0.970653
1582297546706069,2.96904,0.904626,-0.952613
1582297546727979,2.99641,0.881373,-0.942919
1582297546744736,3.02104,0.855918,-0.930267
1582297546765983,3.04598,0.833155,-0.913482
1582297546788108,3.06403,0.817095,-0.906952
1582297546804581,3.06649,0.807404,-0.914149
1582297546825719,3.06017,0.799975,-0.931127
1582297546848759,3.04765,0.795474,-0.954951
1582297546864415,3.01434,0.798414,-0.996829
1582297546885360,2.97285,0.799637,-1.05991
1582297546908592,2.93211,0.800972,-1.12894
1582297546924461,2.87799,0.807338,-1.20755
1582297546945278,2.81195,0.814608,-1.30998
1582297546968342,2.74815,0.812951,-1.42829
1582297546984282,2.68403,0.805777,-1.54434
1582297547006040,2.60655,0.793609,-1.66314
1582297547028403,2.50698,0.769717,-1.79074
1582297547044933,2.38726,0.72699,-1.92291
1582297547066091,2.27177,0.666196,-2.05189
1582297547087860,2.18749,0.609627,-2.16732
1582297547104772,2.11211,0.557609,-2.25172
1582297547125855,2.06635,0.494543,-2.3229
1582297547150648,2.04751,0.426093,-2.39123
1582297547164769,2.02187,0.355944,-2.44888
1582297547185799,1.9912,0.295451,-2.48515
1582297547208702,1.97448,0.242943,-2.50471
1582297547226445,1.96918,0.195269,-2.5198
1582297547245584,1.97577,0.147262,-2.53482
1582297547268596,1.99443,0.10467,-2.54658
1582297547286294,2.01479,0.0639792,-2.54824
1582297547305246,2.02182,0.0192213,-2.54261
1582297547328412,2.01606,-0.0272884,-2.53848
1582297547346348,2.0175,-0.0697981,-2.53678
