timestamp,x,y,z,w
1582297619112683,-0.395752,0.809204,0.309875,-0.304321
1582297619133860,-0.395752,0.809204,0.309814,-0.304321
1582297619149634,-0.395691,0.809204,0.309814,-0.304321
1582297619172522,-0.395691,0.809204,0.309753,-0.304321
1582297619193905,-0.395691,0.809265,0.309692,-0.304321
1582297619209520,-0.395935,0.809326,0.309326,-0.304138
1582297619232423,-0.395935,0.809326,0.309326,-0.304138
1582297619253511,-0.395935,0.809326,0.309326,-0.304138
1582297619270263,-0.396179,0.809448,0.30896,-0.303894
1582297619292208,-0.396301,0.80957,0.308533,-0.303772
1582297619315187,-0.396484,0.809631,0.30835,-0.30365
1582297619330107,-0.396484,0.809631,0.30835,-0.303711
1582297619352101,-0.396484,0.809631,0.30835,-0.303711
1582297619374988,-0.396484,0.809631,0.308289,-0.30365
1582297619389941,-0.396667,0.809753,0.307861,-0.303589
1582297619412879,-0.396667,0.809753,0.307861,-0.303589
1582297619434882,-0.396667,0.809753,0.307861,-0.303589
1582297619449843,-0.396667,0.809753,0.3078,-0.303589
1582297619472721,-0.396851,0.809937,0.307434,-0.303345
1582297619494669,-0.396851,0.809937,0.307434,-0.303345
1582297619509621,-0.396851,0.809875,0.307434,-0.303406
1582297619532631,-0.396851,0.809937,0.307434,-0.303406
1582297619554696,-0.396851,0.809937,0.307434,-0.303406
1582297619569502,-0.396851,0.809937,0.307373,-0.303345
1582297619592426,-0.396851,0.809937,0.307373,-0.303345
1582297619614484,-0.396851,0.809937,0.307312,-0.303345
1582297619629307,-0.396851,0.809937,0.307312,-0.303345
1582297619652446,-0.39679,0.809937,0.307312,-0.303406
1582297619675178,-0.39679,0.809875,0.307556,-0.303467
1582297619689145,-0.396729,0.809692,0.307922,-0.303589
1582297619712080,-0.396729,0.80957,0.308228,-0.30365
1582297619735081,-0.396729,0.809509,0.30835,-0.30365
1582297619749197,-0.396851,0.809387,0.308472,-0.303711
1582297619772087,-0.397034,0.809387,0.308289,-0.303589
1582297619794925,-0.397217,0.809387,0.308167,-0.303528
1582297619816274,-0.397583,0.809387,0.307861,-0.303345
1582297619832765,-0.397949,0.809326,0.307617,-0.303284
1582297619854704,-0.398254,0.809204,0.307556,-0.303284
1582297619875833,-0.39856,0.809021,0.307678,-0.303223
1582297619893053,-0.398926,0.808777,0.307739,-0.303223
1582297619922583,-0.399292,0.808472,0.307983,-0.303406
1582297619935716,-0.39978,0.808228,0.308044,-0.303467
1582297619952511,-0.400085,0.807922,0.308105,-0.30365
1582297619974576,-0.400452,0.807678,0.308105,-0.303833
1582297619996321,-0.400757,0.807434,0.308228,-0.304016
1582297620012406,-0.401062,0.807251,0.308167,-0.304077
1582297620035214,-0.401306,0.807068,0.308228,-0.304321
1582297620056206,-0.401489,0.806885,0.308289,-0.304443
1582297620072116,-0.401611,0.806763,0.308289,-0.304565
1582297620095062,-0.401611,0.806763,0.308289,-0.304565
1582297620116059,-0.401855,0.806702,0.308105,-0.304565
1582297620131957,-0.401855,0.806702,0.308105,-0.304565
1582297620154896,-0.401978,0.806641,0.308167,-0.304626
1582297620176016,-0.402039,0.806458,0.308411,-0.304688
1582297620199773,-0.402039,0.806519,0.30835,-0.304688
1582297620214832,-0.402161,0.806396,0.308472,-0.304688
1582297620237677,-0.402161,0.806396,0.308533,-0.304688
1582297620252632,-0.4021,0.806274,0.308838,-0.304688
1582297620274839,-0.401978,0.806274,0.309021,-0.304749
1582297620297525,-0.401978,0.806274,0.309021,-0.304688
1582297620312524,-0.401978,0.806274,0.309021,-0.304688
1582297620334568,-0.4021,0.806335,0.308777,-0.304565
1582297620357357,-0.4021,0.806335,0.308777,-0.304565
1582297620372310,-0.4021,0.806335,0.308777,-0.304565
1582297620395253,-0.4021,0.806396,0.308716,-0.304565
1582297620417197,-0.4021,0.806396,0.308716,-0.304504
1582297620432255,-0.4021,0.806396,0.308655,-0.304565
1582297620455099,-0.4021,0.806396,0.308655,-0.304565
1582297620477091,-0.4021,0.806396,0.308655,-0.304504
1582297620491992,-0.402161,0.806274,0.308838,-0.304565
1582297620514987,-0.402161,0.806274,0.308838,-0.304565
1582297620537308,-0.402161,0.806274,0.308838,-0.304565
1582297620551838,-0.402161,0.806274,0.308838,-0.304565
1582297620574774,-0.402161,0.806274,0.308838,-0.304565
1582297620597709,-0.402161,0.806274,0.308838,-0.304565
1582297620611679,-0.402161,0.806274,0.308838,-0.304565
1582297620634867,-0.402161,0.806274,0.308838,-0.304565
1582297620657548,-0.402161,0.806274,0.308838,-0.304565
1582297620671809,-0.402161,0.806274,0.308838,-0.304565
1582297620694496,-0.402161,0.806274,0.308838,-0.304565
1582297620717434,-0.402161,0.806274,0.308838,-0.304565
1582297620738333,-0.402161,0.806335,0.308777,-0.304565
1582297620755285,-0.402161,0.806335,0.308777,-0.304565
1582297620777234,-0.402161,0.806335,0.308777,-0.304565
1582297620798373,-0.402161,0.806335,0.308777,-0.304565
1582297620815133,-0.402161,0.806335,0.308777,-0.304565
1582297620837114,-0.402161,0.806335,0.308777,-0.304565
1582297620858527,-0.402161,0.806335,0.308777,-0.304565
1582297620875257,-0.4021,0.806274,0.308899,-0.304688
1582297620897911,-0.4021,0.806274,0.308899,-0.304688
1582297620918066,-0.402161,0.806335,0.308655,-0.304626
1582297620934812,-0.402222,0.806396,0.308411,-0.304565
1582297620957746,-0.402161,0.806274,0.308533,-0.304871
1582297620978735,-0.402039,0.806091,0.308899,-0.305176
