timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1582297430052646,-2,0,-2,-6,2,4,0,-3
1582297430052646,1,-1,-4,0,-5,-6,2,-3
1582297430054602,0,-2,-5,-1,1,-1,2,3
1582297430054602,-5,-1,5,-1,-3,-2,-2,-1
1582297430082930,6,2,-5,-5,2,-4,-3,3
1582297430082930,3,-2,-3,4,-3,1,-4,2
1582297430084517,-8,0,2,-4,-2,2,3,-6
1582297430084517,-5,0,1,-1,1,-6,-6,0
1582297430089032,3,-3,-7,-5,-4,-3,-6,1
1582297430089032,-2,0,5,4,1,1,-1,-6
1582297430097772,3,-2,-2,-1,-2,-5,0,3
1582297430097772,-5,-2,-2,0,1,2,0,-6
1582297430112601,-3,-1,-7,-5,0,6,-2,-3
1582297430112601,-7,-4,0,0,-6,-13,-7,-3
1582297430114442,3,2,-3,1,5,11,4,0
1582297430114442,5,0,-8,-8,-2,-2,1,1
1582297430135379,3,4,16,8,-5,-8,-9,-8
1582297430135379,0,2,0,3,2,5,6,-1
1582297430136809,-2,-7,-5,-7,-6,-10,-5,0
1582297430136809,-3,1,0,3,3,3,-2,-4
1582297430148342,-3,-4,-7,-5,-1,-2,3,3
1582297430148342,0,1,-2,1,-1,0,-2,0
1582297430157317,0,1,2,4,0,-5,-8,2
1582297430157317,3,-1,1,-2,0,2,2,5
1582297430172333,-2,0,-3,-4,-3,-4,-1,-1
1582297430172333,2,3,3,1,0,-1,-6,-5
1582297430174289,-4,-5,-5,-4,-2,0,-4,-5
1582297430174289,-1,0,1,-1,-2,1,0,2
1582297430195223,2,3,-1,0,0,0,4,2
1582297430195223,-16,-7,-2,2,0,2,-2,-1
1582297430197095,16,5,2,0,-1,-3,-7,2
1582297430197095,-2,-1,1,-1,-2,-3,-4,-2
1582297430208187,-20,-7,-5,-3,-2,1,2,-6
1582297430208187,25,-2,-4,-2,-2,-1,0,4
1582297430217189,-4,6,1,1,0,-1,-1,1
1582297430217189,3,-2,2,2,2,0,-5,1
1582297430232120,1,1,-4,-4,-2,-4,-2,6
1582297430232120,-15,-7,0,-1,-2,0,-4,-6
1582297430234111,-3,-6,-4,-4,-3,-2,-2,-5
1582297430234111,3,-1,-2,1,-1,-1,1,0
1582297430255059,-4,-1,-4,-3,1,6,-3,-8
1582297430255059,-2,0,-1,-1,-2,-4,2,3
1582297430256184,11,0,0,0,-1,0,0,3
