timestamp,x,y,z
1582293990961141,-0.875,0.125,-0.5
1582293990983077,-0.5625,-0.0625,-0.375
1582293991006021,0.1875,0.0625,-0.5625
1582293991027089,0.375,0.3125,-0.5
1582293991043063,0.375,0.25,-0.5625
1582293991065854,0,-0.125,-0.1875
1582293991081032,0.0625,-0.625,0.0625
1582293991103706,0.4375,-0.9375,0.375
1582293991117722,1,-0.375,0.1875
1582293991141055,1.5625,-0.375,-0.0625
1582293991163549,0.625,-0.6875,0.4375
1582293991177512,0.125,-0.4375,0.3125
1582293991200890,1.1875,-0.5625,-0.3125
1582293991223442,0.75,-0.5625,-0.375
1582293991237736,-0.1875,-0.75,-0.6875
1582293991261282,-0.1875,-0.9375,-1
1582293991283462,-0.5625,-0.8125,-1.125
1582293991297189,-0.75,-0.4375,-1.1875
1582293991321193,-0.5,-0.25,-1.0625
1582293991343513,-1.125,-0.25,-0.875
1582293991358165,-0.875,-0.3125,-0.75
1582293991380963,-0.1875,-0.5,-0.5
1582293991402949,0.25,-0.4375,-0.375
1582293991417930,0.4375,-0.5,-0.25
1582293991440807,0.3125,-0.375,-0.3125
1582293991463740,-0.125,-0.125,-0.25
1582293991484877,0,-0.0625,-0.1875
1582293991501009,0.0625,-0.1875,-0.1875
1582293991523648,-0.4375,-0.0625,-0.25
1582293991544756,-0.6875,-0.125,-0.3125
1582293991560524,-0.4375,-0.0625,-0.625
1582293991590614,-0.5625,-0.1875,-0.375
1582293991604560,0,-0.5625,-0.625
1582293991620521,-0.3125,-0.5625,-0.625
1582293991643265,-0.9375,-0.5,-0.5
1582293991664666,-0.8125,-0.5625,-0.5625
1582293991681160,-0.0625,-0.5625,-0.5
1582293991703109,-0.1875,-0.375,-0.625
1582293991725043,-0.5625,-0.375,-0.6875
1582293991741054,-0.125,-0.375,-0.4375
1582293991762940,-0.0625,-0.0625,-0.4375
1582293991784969,-0.375,0.1875,-0.25
1582293991800894,-0.0625,0.25,-0.1875
1582293991823779,0.375,0,-0.125
1582293991844798,0.4375,-0.125,0.125
1582293991859873,0.1875,-0.1875,0.1875
1582293991883617,0.125,0,0.125
1582293991906609,0.1875,0.25,0.1875
1582293991911605,0.1875,0.125,0.1875
1582293991926884,0.3125,-0.0625,0.1875
1582293991949443,0.1875,-0.125,0.125
1582293991971599,0.1875,-0.125,0.3125
1582293991986535,0.3125,-0.25,0
1582293992009347,0.5,-0.25,0
1582293992031268,0.375,-0.0625,0.0625
1582293992046183,0.1875,0.125,-0.1875
1582293992070122,-0.1875,0.125,0.0625
1582293992091225,-0.75,0.25,0.125
1582293992106184,-0.4375,0.0625,-0.1875
1582293992128971,-0.0625,-0.1875,-0.125
1582293992151100,-0.0625,-0.25,-0.1875
1582293992165902,0.0625,0.0625,-0.1875
1582293992189042,-0.25,0.375,-0.1875
1582293992211280,-0.25,0.1875,-0.125
1582293992229204,0,0.3125,0
1582293992248844,0.3125,0.0625,0.125
1582293992271646,0.0625,0.0625,0.1875
1582293992286723,-0.125,0.0625,0.0625
1582293992309004,0.1875,0,-0.0625
1582293992331846,0.1875,-0.25,0.0625
1582293992347547,0.0625,-0.3125,-0.0625
1582293992370540,-0.1875,-0.375,-0.125
1582293992391459,-0.3125,-0.125,-0.0625
1582293992406539,-0.1875,0.0625,-0.25
1582293992429305,-0.1875,0.0625,-0.1875
1582293992454091,-0.4375,0,-0.4375
1582293992466111,-0.4375,0,-0.3125
1582293992489199,-0.25,-0.0625,-0.375
1582293992511178,-0.5,0,-0.375
1582293992527952,-0.5625,0,-0.25
1582293992549029,-0.0625,-0.0625,-0.375
1582293992571778,-0.0625,0.0625,-0.3125
1582293992587791,-0.625,0.0625,-0.1875
1582293992608907,-0.5,0,-0.3125
1582293992631854,-0.4375,0.1875,-0.4375
1582293992647732,-0.75,0.375,-0.1875
1582293992668765,-0.5,0.25,-0.25
1582293992686481,-0.5,0.375,-0.25
1582293992707474,-1,0.125,-0.3125
1582293992736486,-0.125,-0.4375,0.1875
1582293992746328,0.5625,-0.125,-0.25
1582293992767468,-1.75,0.5,-0.375
1582293992789195,-1.625,0.0625,-0.25
1582293992807147,1.125,-0.6875,-0.5
1582293992828098,0.5,-0.0625,-0.3125
1582293992849221,-1.8125,0.125,-0.125
1582293992867102,-0.875,0.125,-0.375
1582293992889580,0.0625,0.125,-0.5
1582293992909134,-0.75,0.1875,-0.375
1582293992926835,-1,0.0625,-0.4375
1582293992949196,-0.5625,0.0625,-0.375
1582293992970035,-0.375,0,-0.25
1582293992986670,-0.1875,-0.0625,-0.0625
1582293993009606,0.3125,-0.0625,-0.125
1582293993028562,0.625,-0.0625,-0.1875
1582293993046585,0.25,0,0.1875
1582293993069445,-0.0625,-0.125,0.0625
1582293993088635,0.125,0,-0.125
1582293993106345,0.1875,0.25,-0.1875
1582293993129557,-0.0625,0.0625,-0.5
1582293993149280,-0.1875,-0.1875,-0.375
1582293993166185,-0.1875,-0.375,-0.4375
1582293993189126,-0.1875,-0.1875,-0.3125
1582293993209288,-0.125,-0.0625,-0.25
1582293993227178,0.25,-0.125,-0.375
1582293993249653,0.3125,-0.1875,-0.3125
1582293993268913,0.0625,-0.375,-0.3125
1582293993286862,-0.1875,-0.3125,-0.3125
1582293993308974,0.125,-0.0625,-0.375
1582293993328760,0.25,0,-0.1875
1582293993346702,0.3125,0,-0.125
1582293993369641,0.125,-0.0625,-0.0625
1582293993388710,0.125,-0.0625,-0.125
1582293993406716,0.3125,-0.125,-0.125
1582293993429567,0.1875,-0.125,-0.125
1582293993450426,0.0625,-0.125,-0.125
1582293993467043,-0.125,0.1875,-0.0625
1582293993496302,-0.25,0.125,-0.25
1582293993510327,-0.125,0,-0.25
1582293993532352,-0.0625,-0.125,-0.3125
1582293993548169,0,-0.125,-0.25
1582293993569153,-0.125,-0.3125,-0.125
1582293993586243,0,-0.25,-0.125
1582293993608113,0,-0.25,-0.0625
1582293993628956,0.125,-0.5625,0
1582293993652920,0.3125,-0.4375,-0.1875
1582293993668844,0.125,-0.375,-0.375
1582293993689994,0.125,-0.25,-0.1875
1582293993705747,0.125,-0.25,0.125
1582293993728694,0,-0.4375,0
1582293993750623,0.625,-1.125,-0.125
1582293993765837,2.25,-1.5625,0
1582293993788575,3.375,-2.3125,-0.25
